x1,x2,objective
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.620293,0.673336,-0.025641
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.450542,0.083821,-0.000000
0.228977,0.913337,-0.043478
0.228977,0.913337,-0.043478
0.240426,0.867670,-0.045455
0.240426,0.867670,-0.045455
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.246150,0.776337,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.152378,0.825817,-0.050000
0.538342,0.996135,-0.013333
0.538342,0.996135,-0.013333
0.578718,0.896521,-0.022222
0.578718,0.896521,-0.022222
0.619094,0.697294,-0.025641
0.619094,0.697294,-0.025641
0.686387,0.498067,-0.031250
0.659469,0.498067,-0.034483
0.659469,0.498067,-0.034483
0.659469,0.498067,-0.034483
0.659469,0.498067,-0.034483
0.659469,0.498067,-0.034483
0.659469,0.498067,-0.034483
0.659469,0.498067,-0.034483
0.660521,0.494954,-0.037037
0.660521,0.494954,-0.037037
0.660521,0.494954,-0.037037
0.660521,0.494954,-0.037037
0.660521,0.494954,-0.037037
0.660521,0.494954,-0.037037
0.660521,0.494954,-0.037037
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.078176,0.442678,-0.000000
0.106653,0.961898,-0.043478
0.106653,0.961898,-0.043478
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
0.114652,0.865708,-0.050000
